state_code,county_code,census_tract,pct_white_2018,pct_black_2018,pct_hispanic_2018,med_income_2018,med_property_value_2018,med_loan_amount_2018,med_cltv_2018,pct_white_2024,pct_black_2024,pct_hispanic_2024,med_income_2024,med_property_value_2024,med_loan_amount_2024,med_cltv_2024,delta_income,delta_property_value,delta_loan_amount,delta_white,delta_black,delta_hispanic,delta_cltv
IL,17031,17031010100,0.696,0.087,0.043,86,215000,195000,90,0.700,0.067,0.033,109.5,315000,235000,80,23.5,100000,40000,0.004,-0.020,-0.010,-10
IL,17031,17031010201,0.564,0.128,0.128,69,185000,155000,91.8,0.405,0.238,0.119,78,220000,180000,90,9,35000,25000,-0.159,0.110,-0.009,-1.8
IL,17031,17031010202,0.455,0.000,0.182,83,225000,195000,85,0.450,0.000,0.250,73.5,185000,160000,95,-9.5,-40000,-35000,-0.005,0.000,0.068,10
IL,17031,17031010300,0.652,0.087,0.087,58.5,185000,155000,87.435,0.553,0.053,0.105,87,280000,225000,83,28.5,95000,70000,-0.100,-0.034,0.018,-4.435
IL,17031,17031010400,0.667,0.091,0.030,81,225000,185000,80,0.750,0.000,0.063,102,295000,245000,82.5,21,70000,60000,0.083,-0.091,0.032,2.5
IL,17031,17031010501,0.724,0.000,0.069,78,195000,165000,90,0.500,0.042,0.125,93,240000,190000,89.5,15,45000,25000,-0.224,0.042,0.056,-0.5
IL,17031,17031010502,0.524,0.095,0.095,72,215000,195000,89.99,0.765,0.000,0.059,84,275000,225000,90,12,60000,30000,0.241,-0.095,-0.036,0.01
IL,17031,17031010503,1.000,0.000,0.000,155,585000,485000,80,0.400,0.000,0.200,119,435000,405000,90,-36,-150000,-80000,-0.600,0.000,0.200,10
IL,17031,17031010600,0.639,0.066,0.115,82,225000,185000,90,0.510,0.078,0.078,88,265000,205000,80,6,40000,20000,-0.130,0.013,-0.036,-10
IL,17031,17031010701,0.568,0.162,0.135,67,175000,155000,90,0.630,0.222,0.074,68,185000,165000,95,1,10000,10000,0.062,0.060,-0.061,5
IL,17031,17031010702,0.500,0.088,0.059,61,155000,140000,90,0.417,0.208,0.167,77.5,260000,215000,91,16.5,105000,75000,-0.083,0.120,0.108,1
IL,17031,17031020100,0.444,0.148,0.185,61,195000,175000,95,0.630,0.185,0.000,76,275000,195000,90,15,80000,20000,0.185,0.037,-0.185,-5
IL,17031,17031020200,0.667,0.024,0.095,101,365000,320000,86.55,0.688,0.000,0.000,150.5,530000,425000,85,49.5,165000,105000,0.021,-0.024,-0.095,-1.55
IL,17031,17031020301,0.675,0.075,0.050,77,140000,125000,85,0.571,0.048,0.143,101.5,310000,210000,81.846,24.5,170000,85000,-0.104,-0.027,0.093,-3.154
IL,17031,17031020302,0.633,0.067,0.033,69.5,205000,165000,87.5,0.417,0.083,0.208,90,335000,220000,80,20.5,130000,55000,-0.217,0.017,0.175,-7.5
IL,17031,17031020400,0.560,0.160,0.120,71,225000,205000,95,0.429,0.086,0.171,82,235000,175000,85,11,10000,-30000,-0.131,-0.074,0.051,-10
IL,17031,17031020500,0.353,0.088,0.235,64,165000,155000,95,0.304,0.043,0.174,81,205000,185000,88.889,17,40000,30000,-0.049,-0.045,-0.061,-6.111
